year,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2009-01-01,2.59674,1.98537,0.4947,,0.44442,1.29438,2.72644,3.05514,1.35134,1.39541,3.74883,2.21207,1.6825,0.62557,0.84323,1.13212,1.6082,2.59511,1.22126,,0.82967,1.6775,0.45271,0.5174,1.6657,1.72279,0.66097,1.57973,0.44395,0.47326,1.81629,3.44598
2008-01-01,2.56945,1.92413,0.44787,2.71472,0.38601,1.23933,2.59712,2.77346,1.31706,1.25952,3.54708,2.06117,1.62307,0.66183,0.88397,0.9796,1.38766,2.48745,1.16367,,0.78844,1.62293,0.58139,0.53331,1.62269,1.55346,0.59921,1.4452,0.55215,0.46204,1.62564,3.49104
2007-01-01,2.41843,1.84413,0.43024,,0.40007,1.30228,2.44633,2.51541,1.23448,1.06884,3.34577,2.02451,1.62165,0.57655,0.79187,0.95674,1.23325,2.54913,1.1327,,0.80093,1.59123,0.55379,0.5485,1.6703,1.56401,0.56189,1.12427,0.51148,0.44824,1.42382,3.25273
2006-01-01,2.35923,1.81426,0.4454,,0.38346,1.23173,2.45604,2.403,1.17217,1.11666,3.33762,2.05094,1.58285,0.56118,0.74081,0.98097,1.19836,2.8939,1.08696,,0.79119,1.66674,0.65063,0.58025,1.74067,1.45598,0.55082,0.95455,0.45682,0.47563,1.53291,3.49609
2005-01-01,2.37324,1.78231,0.44617,,0.36727,1.16835,2.42253,2.39337,1.09577,0.92364,3.32976,2.05151,1.5612,0.57896,0.85689,0.92094,1.19281,2.68614,1.04709,,0.74741,1.57171,0.52959,0.52996,1.77388,1.48317,0.56281,0.75707,0.41262,0.49401,1.41229,3.38312
2004-01-01,2.16612,1.80898,0.47449,2.67269,0.33564,1.14559,2.42079,2.41916,1.03849,0.85193,3.31494,2.09461,1.5423,0.5273,1.03207,0.86035,1.17866,,1.05312,,0.75066,1.60262,0.40013,0.49256,1.78901,1.54506,0.55251,0.72871,0.38942,0.50149,1.36806,3.38737
2003-01-01,2.17456,1.83184,0.47587,,0.31834,1.14741,2.4566,2.51085,1.02219,0.76777,3.30214,2.11994,1.5895,0.54654,0.95034,0.91841,1.12451,2.70912,1.06198,,0.66339,1.62595,0.36002,0.23707,1.7839,1.68036,0.53884,0.69759,0.39708,0.56247,1.24528,3.60977
2002-01-01,2.06598,1.89073,0.46834,,0.27967,1.10202,2.41543,2.44145,0.96005,0.71649,3.2574,2.17449,1.6254,,0.94846,0.98198,1.05605,2.82841,1.08482,,0.6567,,0.40888,0.2385,1.74543,1.63058,0.55785,0.72144,0.37721,0.56389,1.43874,
2001-01-01,1.9921,2.02168,0.45052,,0.23694,1.10333,2.38558,2.32466,0.89019,0.69946,3.19795,2.13804,1.61903,0.55948,0.91644,0.91189,1.05306,2.8501,1.04491,,0.66679,,0.40321,,1.79609,1.56231,0.62284,0.76452,0.39129,0.62565,1.46773,3.90785
2000-01-01,1.88602,1.92236,0.49866,2.32344,0.2269,1.11319,2.39166,,0.88495,0.60009,3.24569,2.09346,1.62649,,1.0441,0.78942,1.08497,2.5783,1.00546,,0.5848,1.57673,0.43598,,1.7898,,0.64202,0.72127,0.36626,0.63927,1.3563,
1999-01-01,1.84537,1.89068,0.54066,,0.21806,1.05452,2.33383,2.12764,0.84052,0.68063,3.05603,2.10767,1.64171,0.56823,0.8404,0.67053,1.15338,2.23767,0.98337,,0.502,,0.35186,,1.82282,1.60533,0.6818,0.681,0.39832,0.64556,1.33814,3.41742
1998-01-01,1.73155,1.82362,0.48509,,0.20331,1.06528,2.2123,2.00619,0.85102,0.57074,2.78655,2.09476,1.55911,,,0.65625,1.20958,1.9532,1.00784,,0.54377,,0.37876,,1.74206,,0.66083,0.62468,0.49541,0.76611,1.30637,
1997-01-01,1.65491,1.79476,0.46981,,,0.99439,2.1788,1.88914,0.77964,,2.62321,2.14699,1.5445,0.4291,,0.69905,1.24317,1.7954,0.98994,,0.53658,,0.3664,,1.84477,1.59352,0.64412,0.5636,0.57451,1.05283,1.24727,3.31489
1996-01-01,1.58077,1.72963,0.42201,2.44857,,0.89446,2.13716,1.80667,0.78949,,2.45311,2.2228,1.58684,,,0.63025,1.27006,,0.94843,,0.49155,,0.39723,,1.84093,,0.64036,0.5495,0.67472,0.89292,1.26633,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
